label,support,frozen_f1,vision_f1,difference_f1
basal_cell_carcinoma,188,0.77,0.726343,-0.04365700000000006
drug_eruption,31,0.347826,0.307692,-0.040134
squamous_cell_carcinoma,73,0.444444,0.420168,-0.02427600000000002
actinic_keratosis,102,0.653061,0.631068,-0.02199300000000004
prurigo_nodularis,19,0.486486,0.468085,-0.018401
urticaria,67,0.459459,0.453125,-0.006334000000000006
folliculitis,59,0.553571,0.550459,-0.0031120000000000037
acne_vulgaris,66,0.8,0.8,0.0
erythema_multiforme,19,0.615385,0.634146,0.018761000000000028
melanocytic_nevus,39,0.684932,0.710526,0.025594000000000006
scabies,30,0.444444,0.474576,0.030131999999999992
psoriasis,102,0.663594,0.695238,0.031644000000000005
contact_dermatitis,119,0.405286,0.437768,0.03248200000000001
eczema,135,0.519856,0.558923,0.03906699999999996
seborrheic_dermatitis,16,0.518519,0.5625,0.04398100000000005
melanoma,48,0.747253,0.804348,0.05709500000000001
seborrheic_keratosis,38,0.725,0.78481,0.05981000000000003
pityriasis_rosea,23,0.6,0.727273,0.12727299999999997
vitiligo,16,0.827586,0.969697,0.142111
granuloma_annulare,25,0.511628,0.666667,0.15503900000000004
rosacea,14,0.416667,0.666667,0.25
