canonical_source_label,benchmark_disease_id,mapping_status,dataset_id,primary_group_count,primary_image_count,any_reference_group_count,any_reference_image_count,source_label_count
psoriasis_pictures_lichen_planus_and_related_diseases,,out_of_benchmark_scope,all_sources,1757,1757,1757,1757,1
seborrheic_keratoses_and_other_benign_tumors,,out_of_benchmark_scope,all_sources,1714,1714,1714,1714,1
tinea_ringworm_candidiasis_and_other_fungal_infections,,out_of_benchmark_scope,all_sources,1625,1625,1625,1625,1
eczema_photos,,out_of_benchmark_scope,all_sources,1544,1544,1544,1544,1
actinic_keratosis_basal_cell_carcinoma_and_other_malignant_lesions,,out_of_benchmark_scope,all_sources,1437,1437,1437,1437,1
warts_molluscum_and_other_viral_infections,,out_of_benchmark_scope,all_sources,1358,1358,1358,1358,1
nail_fungus_and_other_nail_disease,,out_of_benchmark_scope,all_sources,1301,1301,1301,1301,1
acne_and_rosacea_photos,,out_of_benchmark_scope,all_sources,1152,1152,1152,1152,1
basal_cell_carcinoma,D004,benchmark_mapped,all_sources,972,1311,987,1336,4
systemic_disease,,out_of_benchmark_scope,all_sources,758,758,758,758,1
light_diseases_and_disorders_of_pigmentation,,out_of_benchmark_scope,all_sources,711,711,711,711,1
actinic_keratosis,D007,benchmark_mapped,all_sources,683,897,693,915,4
eczema,D014,benchmark_mapped,all_sources,664,1255,1232,2528,2
psoriasis,D003,benchmark_mapped,all_sources,643,768,842,1195,2
contact_dermatitis,D009,benchmark_mapped,all_sources,623,976,1292,2485,3
atopic_dermatitis_photos,,out_of_benchmark_scope,all_sources,612,612,612,612,1
vascular_tumors,,out_of_benchmark_scope,all_sources,603,603,603,603,1
melanoma_skin_cancer_nevi_and_moles,,out_of_benchmark_scope,all_sources,579,579,579,579,1
bullous_disease_photos,,out_of_benchmark_scope,all_sources,561,561,561,561,1
squamous_cell_carcinoma,D005,benchmark_mapped,all_sources,558,625,587,684,5
scabies_lyme_disease_and_other_infestations_and_bites,,out_of_benchmark_scope,all_sources,539,539,539,539,1
lupus_and_other_connective_tissue_diseases,,out_of_benchmark_scope,all_sources,525,525,525,525,1
vasculitis_photos,,out_of_benchmark_scope,all_sources,521,521,521,521,1
herpes_hpv_and_other_stds_photos,,out_of_benchmark_scope,all_sources,507,507,507,507,1
exanthems_and_drug_eruptions,,out_of_benchmark_scope,all_sources,505,505,505,505,1
acne_vulgaris,D011,benchmark_mapped,all_sources,481,543,518,627,3
lichen_planus,,out_of_benchmark_scope,all_sources,377,377,377,377,1
cellulitis_impetigo_and_other_bacterial_infections,,out_of_benchmark_scope,all_sources,361,361,361,361,1
urticaria,D017,benchmark_mapped,all_sources,348,576,466,830,2
folliculitis,D016,benchmark_mapped,all_sources,325,489,451,769,3
poison_ivy_photos_and_other_contact_dermatitis,,out_of_benchmark_scope,all_sources,325,325,325,325,1
melanoma,D001,benchmark_mapped,all_sources,316,334,322,348,6
melanocytic_nevus,D002,benchmark_mapped,all_sources,309,376,316,391,3
seborrheic_keratosis,D006,benchmark_mapped,all_sources,301,360,301,360,4
hair_loss_photos_alopecia_and_other_hair_diseases,,out_of_benchmark_scope,all_sources,299,299,299,299,1
urticaria_hives,,out_of_benchmark_scope,all_sources,265,265,265,265,1
lupus_erythematosus,,out_of_benchmark_scope,all_sources,257,257,257,257,1
sarcoidosis,,out_of_benchmark_scope,all_sources,257,257,257,257,1
scleroderma,,out_of_benchmark_scope,all_sources,246,246,246,246,1
neutrophilic_dermatoses,,out_of_benchmark_scope,all_sources,244,244,244,244,1
photodermatoses,,out_of_benchmark_scope,all_sources,242,242,242,242,1
scabies,D018,benchmark_mapped,all_sources,224,247,266,357,2
drug_eruption,D025,benchmark_mapped,all_sources,215,286,305,492,2
insect_bite,,out_of_benchmark_scope,all_sources,185,401,403,879,1
pityriasis_rubra_pilaris,,out_of_benchmark_scope,all_sources,177,178,184,195,2
mycosis_fungoides,,out_of_benchmark_scope,all_sources,175,175,175,175,2
pityriasis_rosea,D019,benchmark_mapped,all_sources,167,216,203,296,2
erythema_multiforme,D024,benchmark_mapped,all_sources,161,170,187,228,2
granuloma_annulare,D023,benchmark_mapped,all_sources,157,186,189,258,2
dermatomyositis,,out_of_benchmark_scope,all_sources,136,136,139,144,3
dariers_disease,,out_of_benchmark_scope,all_sources,130,130,130,130,1
seborrheic_dermatitis,D015,benchmark_mapped,all_sources,127,144,159,209,2
vitiligo,D013,benchmark_mapped,all_sources,115,117,119,129,2
nematode_infection,,out_of_benchmark_scope,all_sources,113,113,113,113,1
pyogenic_granuloma,,out_of_benchmark_scope,all_sources,111,115,113,118,3
neurofibromatosis,,out_of_benchmark_scope,all_sources,109,109,109,109,1
prurigo_nodularis,D022,benchmark_mapped,all_sources,108,140,113,152,3
rosacea,D012,benchmark_mapped,all_sources,108,136,131,187,2
juvenile_xanthogranuloma,,out_of_benchmark_scope,all_sources,104,104,104,104,1
kaposi_sarcoma,,out_of_benchmark_scope,all_sources,104,104,104,104,2
superficial_spreading_melanoma_ssm,,out_of_benchmark_scope,all_sources,104,104,104,104,1
telangiectases,,out_of_benchmark_scope,all_sources,100,100,100,100,1
keratosis_pilaris,,out_of_benchmark_scope,all_sources,96,141,125,212,2
porokeratosis_actinic,,out_of_benchmark_scope,all_sources,93,93,93,93,1
tinea,,out_of_benchmark_scope,all_sources,93,211,206,465,1
milia,,out_of_benchmark_scope,all_sources,90,93,99,112,2
urticaria_pigmentosa,,out_of_benchmark_scope,all_sources,90,90,90,90,1
stevens_johnson_syndrome,,out_of_benchmark_scope,all_sources,89,89,89,89,1
nevus_sebaceous_of_jadassohn,,out_of_benchmark_scope,all_sources,88,88,88,88,1
porphyria,,out_of_benchmark_scope,all_sources,87,87,87,87,1
dermatofibroma,,out_of_benchmark_scope,all_sources,85,93,87,99,3
fixed_eruptions,,out_of_benchmark_scope,all_sources,85,85,85,85,1
keloid,,out_of_benchmark_scope,all_sources,84,84,84,84,2
lyme_disease,,out_of_benchmark_scope,all_sources,83,83,83,83,1
necrobiosis_lipoidica,,out_of_benchmark_scope,all_sources,83,85,87,95,2
epidermal_nevus,,out_of_benchmark_scope,all_sources,81,83,84,91,3
lymphangioma,,out_of_benchmark_scope,all_sources,80,81,84,91,2
pilar_cyst,,out_of_benchmark_scope,all_sources,80,80,80,80,1
scleromyxedema,,out_of_benchmark_scope,all_sources,76,76,76,76,1
lupus_subacute,,out_of_benchmark_scope,all_sources,73,73,73,73,1
cheilitis,,out_of_benchmark_scope,all_sources,72,72,72,72,2
acanthosis_nigricans,,out_of_benchmark_scope,all_sources,70,75,71,78,2
verruca_vulgaris,,out_of_benchmark_scope,all_sources,70,96,90,145,2
halo_nevus,,out_of_benchmark_scope,all_sources,69,69,69,69,1
impetigo,,out_of_benchmark_scope,all_sources,69,136,121,267,1
herpes_zoster,,out_of_benchmark_scope,all_sources,68,130,142,297,1
perioral_dermatitis,,out_of_benchmark_scope,all_sources,68,88,79,111,2
dyshidrotic_eczema,,out_of_benchmark_scope,all_sources,66,66,66,66,1
ehlers_danlos_syndrome,,out_of_benchmark_scope,all_sources,66,66,66,66,1
syringoma,,out_of_benchmark_scope,all_sources,66,66,66,66,1
lichen_simplex,,out_of_benchmark_scope,all_sources,65,65,65,65,1
tuberous_sclerosis,,out_of_benchmark_scope,all_sources,65,65,65,65,1
tungiasis,,out_of_benchmark_scope,all_sources,65,65,65,65,1
incontinentia_pigmenti,,out_of_benchmark_scope,all_sources,64,64,64,64,1
hidradenitis,,out_of_benchmark_scope,all_sources,63,68,71,83,2
pigmented_purpuric_eruption,,out_of_benchmark_scope,all_sources,62,128,98,220,1
epidermolysis_bullosa,,out_of_benchmark_scope,all_sources,61,61,61,61,1
hailey_hailey_disease,,out_of_benchmark_scope,all_sources,61,61,64,68,2
paronychia,,out_of_benchmark_scope,all_sources,61,66,62,68,2
acquired_autoimmune_bullous_diseaseherpes_gestationis,,out_of_benchmark_scope,all_sources,59,59,59,59,1
lentigo_maligna,,out_of_benchmark_scope,all_sources,59,59,59,59,1
mucous_cyst,,out_of_benchmark_scope,all_sources,58,58,58,58,1
becker_nevus,,out_of_benchmark_scope,all_sources,56,56,56,56,1
erythema_nodosum,,out_of_benchmark_scope,all_sources,55,57,61,73,2
herpes_simplex,,out_of_benchmark_scope,all_sources,55,109,141,295,1
mucinosis,,out_of_benchmark_scope,all_sources,55,55,55,55,1
papilomatosis_confluentes_and_reticulate,,out_of_benchmark_scope,all_sources,55,55,55,55,1
stasis_edema,,out_of_benchmark_scope,all_sources,55,55,55,55,1
sun_damaged_skin,,out_of_benchmark_scope,all_sources,55,55,55,55,1
neurodermatitis,,out_of_benchmark_scope,all_sources,54,54,54,54,1
acrodermatitis_enteropathica,,out_of_benchmark_scope,all_sources,53,53,53,53,1
ichthyosis_vulgaris,,out_of_benchmark_scope,all_sources,53,53,53,53,1
livedo_reticularis,,out_of_benchmark_scope,all_sources,52,61,55,70,2
port_wine_stain,,out_of_benchmark_scope,all_sources,52,52,52,52,1
erythema_annulare_centrifigum,,out_of_benchmark_scope,all_sources,51,51,51,51,1
aplasia_cutis,,out_of_benchmark_scope,all_sources,50,50,50,50,1
nevocytic_nevus,,out_of_benchmark_scope,all_sources,50,50,50,50,1
behcets_disease,,out_of_benchmark_scope,all_sources,49,49,49,49,1
drug_induced_pigmentary_changes,,out_of_benchmark_scope,all_sources,49,49,49,49,1
rhinophyma,,out_of_benchmark_scope,all_sources,48,48,48,48,1
striae,,out_of_benchmark_scope,all_sources,48,48,48,48,1
tick_bite,,out_of_benchmark_scope,all_sources,48,48,48,48,1
calcinosis_cutis,,out_of_benchmark_scope,all_sources,47,47,51,58,2
neurotic_excoriations,,out_of_benchmark_scope,all_sources,47,47,47,47,1
pustular_psoriasis,,out_of_benchmark_scope,all_sources,47,47,47,47,1
xeroderma_pigmentosum,,out_of_benchmark_scope,all_sources,47,47,47,47,1
acute_dermatitis_nos,,out_of_benchmark_scope,all_sources,46,93,124,277,1
basal_cell_carcinoma_morpheiform,,out_of_benchmark_scope,all_sources,46,46,46,46,1
porokeratosis_of_mibelli,,out_of_benchmark_scope,all_sources,45,45,45,45,1
fordyce_spots,,out_of_benchmark_scope,all_sources,44,44,44,44,1
naevus_comedonicus,,out_of_benchmark_scope,all_sources,44,44,44,44,1
xanthomas,,out_of_benchmark_scope,all_sources,44,44,44,44,1
pityriasis_lichenoides_chronica,,out_of_benchmark_scope,all_sources,43,43,43,43,1
solid_cystic_basal_cell_carcinoma,,out_of_benchmark_scope,all_sources,41,41,41,41,1
pilomatricoma,,out_of_benchmark_scope,all_sources,39,39,39,39,1
congenital_nevus,,out_of_benchmark_scope,all_sources,38,38,38,38,1
factitial_dermatitis,,out_of_benchmark_scope,all_sources,38,38,38,38,1
myiasis,,out_of_benchmark_scope,all_sources,38,38,38,38,1
tinea_versicolor,,out_of_benchmark_scope,all_sources,37,72,53,108,1
cd_contact_dermatitis,,out_of_benchmark_scope,all_sources,36,98,70,190,1
epidermal_cyst,,out_of_benchmark_scope,all_sources,35,35,35,35,1
granuloma_pyogenic,,out_of_benchmark_scope,all_sources,34,34,34,34,1
langerhans_cell_histiocytosis,,out_of_benchmark_scope,all_sources,33,33,33,33,1
lichen_amyloidosis,,out_of_benchmark_scope,all_sources,33,33,33,33,1
lichen_simplex_chronicus,,out_of_benchmark_scope,all_sources,32,69,78,167,1
pediculosis_lids,,out_of_benchmark_scope,all_sources,32,32,32,32,1
viral_exanthem,,out_of_benchmark_scope,all_sources,29,53,82,187,1
lichen_planus_lichenoid_eruption,,out_of_benchmark_scope,all_sources,28,62,89,209,1
o_e_ecchymoses_present,,out_of_benchmark_scope,all_sources,28,53,50,103,1
leukocytoclastic_vasculitis,,out_of_benchmark_scope,all_sources,25,57,99,218,1
erythema_elevatum_diutinum,,out_of_benchmark_scope,all_sources,24,24,25,27,2
hypersensitivity,,out_of_benchmark_scope,all_sources,24,51,113,249,1
molluscum_contagiosum,,out_of_benchmark_scope,all_sources,24,39,69,141,2
abrasion_scrape_or_scab,,out_of_benchmark_scope,all_sources,23,45,48,105,1
photodermatitis,,out_of_benchmark_scope,all_sources,23,44,43,87,1
purpura,,out_of_benchmark_scope,all_sources,21,34,36,67,1
stasis_dermatitis,,out_of_benchmark_scope,all_sources,21,59,70,163,1
disseminated_actinic_porokeratosis,,out_of_benchmark_scope,all_sources,20,20,20,20,1
acrochordon,,out_of_benchmark_scope,all_sources,19,19,19,19,1
acute_and_chronic_dermatitis,,out_of_benchmark_scope,all_sources,19,39,47,108,1
intertrigo,,out_of_benchmark_scope,all_sources,19,36,31,64,1
abscess,,out_of_benchmark_scope,all_sources,18,35,42,89,2
scar_condition,,out_of_benchmark_scope,all_sources,18,36,23,48,1
cellulitis,,out_of_benchmark_scope,all_sources,17,41,39,94,1
chronic_dermatitis_nos,,out_of_benchmark_scope,all_sources,17,31,27,51,1
dysplastic_nevus,,out_of_benchmark_scope,all_sources,16,16,16,16,1
miliaria,,out_of_benchmark_scope,all_sources,15,27,36,76,1
neurofibroma,,out_of_benchmark_scope,all_sources,12,12,12,12,1
angioma,,out_of_benchmark_scope,all_sources,11,11,11,11,1
cutaneous_lupus,,out_of_benchmark_scope,all_sources,10,18,31,67,1
eccrine_poroma,,out_of_benchmark_scope,all_sources,10,10,10,10,1
inflicted_skin_lesions,,out_of_benchmark_scope,all_sources,10,21,29,64,1
hemangioma,,out_of_benchmark_scope,all_sources,9,15,15,30,1
lichen_nitidus,,out_of_benchmark_scope,all_sources,9,19,27,64,1
xerosis,,out_of_benchmark_scope,all_sources,9,17,24,58,1
ecthyma,,out_of_benchmark_scope,all_sources,8,21,11,30,1
infected_eczema,,out_of_benchmark_scope,all_sources,8,12,23,46,1
squamous_cell_carcinoma_keratoacanthoma,,out_of_benchmark_scope,all_sources,8,8,8,8,1
melanoma_acral_lentiginous,,out_of_benchmark_scope,all_sources,7,7,7,7,1
onychomycosis,,out_of_benchmark_scope,all_sources,7,14,9,19,2
pityriasis_lichenoides,,out_of_benchmark_scope,all_sources,7,16,28,71,1
sk_isk,,out_of_benchmark_scope,all_sources,7,14,17,39,1
basal_cell_carcinoma_nodular,,out_of_benchmark_scope,all_sources,6,6,6,6,1
blue_nevus,,out_of_benchmark_scope,all_sources,6,6,6,6,1
confluent_and_reticulate_papillomatosis,,out_of_benchmark_scope,all_sources,6,9,8,11,1
cutaneous_sarcoidosis,,out_of_benchmark_scope,all_sources,6,11,24,51,1
cutaneous_t_cell_lymphoma,,out_of_benchmark_scope,all_sources,6,13,16,31,1
erythema_ab_igne,,out_of_benchmark_scope,all_sources,6,13,16,36,1
lipoma,,out_of_benchmark_scope,all_sources,6,6,7,7,2
nevus_lipomatosus_superficialis,,out_of_benchmark_scope,all_sources,6,6,6,6,1
post_inflammatory_hyperpigmentation,,out_of_benchmark_scope,all_sources,6,15,28,61,1
superficial_wound_of_body_region,,out_of_benchmark_scope,all_sources,6,16,10,24,1
burn_of_skin,,out_of_benchmark_scope,all_sources,5,8,16,33,1
cyst,,out_of_benchmark_scope,all_sources,5,9,20,38,1
inverted_follicular_keratosis,,out_of_benchmark_scope,all_sources,5,5,5,5,1
metastatic_carcinoma,,out_of_benchmark_scope,all_sources,5,5,5,5,1
skin_infection,,out_of_benchmark_scope,all_sources,5,9,15,27,1
traumatic_petechiae,,out_of_benchmark_scope,all_sources,5,10,7,14,1
candida_intertrigo,,out_of_benchmark_scope,all_sources,4,8,13,26,1
cutaneous_larva_migrans,,out_of_benchmark_scope,all_sources,4,9,9,22,1
eczema_spongiotic_dermatitis,,out_of_benchmark_scope,all_sources,4,4,4,4,1
geographic_tongue,,out_of_benchmark_scope,all_sources,4,8,8,17,1
hyperpigmentation,,out_of_benchmark_scope,all_sources,4,4,4,4,2
keratosis,,out_of_benchmark_scope,all_sources,4,5,6,11,1
lichen_spinulosus,,out_of_benchmark_scope,all_sources,4,10,11,27,1
lichenified_eczematous_dermatitis,,out_of_benchmark_scope,all_sources,4,10,6,15,1
melasma,,out_of_benchmark_scope,all_sources,4,9,5,12,1
o_e_petechiae_on_skin,,out_of_benchmark_scope,all_sources,4,7,7,11,1
solar_lentigo,,out_of_benchmark_scope,all_sources,4,4,4,4,1
abrasions_ulcerations_and_physical_injuries,,out_of_benchmark_scope,all_sources,3,3,3,3,1
arteriovenous_hemangioma,,out_of_benchmark_scope,all_sources,3,3,3,3,1
benign_keratosis,,out_of_benchmark_scope,all_sources,3,3,3,3,1
bullous_pemphigoid,,out_of_benchmark_scope,all_sources,3,6,9,21,1
contact_purpura,,out_of_benchmark_scope,all_sources,3,7,3,7,1
lichen_striatus,,out_of_benchmark_scope,all_sources,3,7,4,10,1
o_e_pustules,,out_of_benchmark_scope,all_sources,3,7,4,10,1
pityriasis_alba,,out_of_benchmark_scope,all_sources,3,8,4,9,1
porokeratosis,,out_of_benchmark_scope,all_sources,3,7,13,32,1
remove_from_labeling_tool,,out_of_benchmark_scope,all_sources,3,3,12,24,1
trichilemmoma,,out_of_benchmark_scope,all_sources,3,3,3,3,1
acquired_digital_fibrokeratoma,,out_of_benchmark_scope,all_sources,2,2,3,5,2
acute_constitutional_eczema,,out_of_benchmark_scope,all_sources,2,5,2,5,1
akv_acrokeratosis_verruciformis,,out_of_benchmark_scope,all_sources,2,3,3,6,1
amyloidosis_of_skin,,out_of_benchmark_scope,all_sources,2,4,9,23,1
animal_bite_wound,,out_of_benchmark_scope,all_sources,2,6,7,21,1
annular_erythema,,out_of_benchmark_scope,all_sources,2,2,7,9,1
basal_cell_carcinoma_superficial,,out_of_benchmark_scope,all_sources,2,2,2,2,1
chilblain,,out_of_benchmark_scope,all_sources,2,2,6,13,1
clavus,,out_of_benchmark_scope,all_sources,2,5,4,9,1
condyloma_accuminatum,,out_of_benchmark_scope,all_sources,2,2,2,2,1
deep_fungal_infection,,out_of_benchmark_scope,all_sources,2,3,17,37,2
dermatitis_herpetiformis,,out_of_benchmark_scope,all_sources,2,3,14,36,1
erythema_gyratum_repens,,out_of_benchmark_scope,all_sources,2,5,4,9,1
fibrous_papule,,out_of_benchmark_scope,all_sources,2,2,2,2,1
foot_ulcer,,out_of_benchmark_scope,all_sources,2,6,2,6,1
foreign_body_granuloma,,out_of_benchmark_scope,all_sources,2,2,2,2,1
graft_vs_host_disease,,out_of_benchmark_scope,all_sources,2,2,2,2,1
grover_s_disease,,out_of_benchmark_scope,all_sources,2,5,10,25,1
hand_foot_and_mouth_disease,,out_of_benchmark_scope,all_sources,2,2,4,5,1
hematoma_of_skin,,out_of_benchmark_scope,all_sources,2,4,2,4,1
idiopathic_guttate_hypomelanosis,,out_of_benchmark_scope,all_sources,2,2,2,2,1
inverse_psoriasis,,out_of_benchmark_scope,all_sources,2,4,2,4,1
kaposi_s_sarcoma_of_skin,,out_of_benchmark_scope,all_sources,2,4,13,24,1
koebner_phenomenon,,out_of_benchmark_scope,all_sources,2,6,4,11,1
lichenoid_myxedema,,out_of_benchmark_scope,all_sources,2,5,6,16,1
morphea_scleroderma,,out_of_benchmark_scope,all_sources,2,5,6,15,1
o_e_petechiae_present,,out_of_benchmark_scope,all_sources,2,4,3,6,1
parapsoriasis,,out_of_benchmark_scope,all_sources,2,6,8,17,1
perforating_dermatosis,,out_of_benchmark_scope,all_sources,2,6,7,21,1
