dataset_id,dataset_role,record_scope,image_count,unique_group_count,exact_age_group_count,standardized_age_group_count,standardized_age_group_coverage,skin_tone_group_count,skin_tone_group_coverage,sex_or_gender_group_count,sex_or_gender_group_coverage,race_ethnicity_group_count,race_ethnicity_group_coverage
fitzpatrick17k_c,taxonomy_contributor,all_source_rows,11394,11394,0,0,0.0,11098,0.974021,0,0.0,0,0.0
fitzpatrick17k_c,taxonomy_contributor,benchmark_mapped_rows,4158,4158,0,0,0.0,4047,0.973304,0,0.0,0,0.0
pad_ufes_20,taxonomy_contributor,all_source_rows,2298,1373,1373,1373,1.0,794,0.578296,794,0.578296,0,0.0
pad_ufes_20,taxonomy_contributor,benchmark_mapped_rows,2298,1373,1373,1373,1.0,794,0.578296,794,0.578296,0,0.0
scin,taxonomy_contributor,all_source_rows,10406,5033,0,2168,0.430757,5020,0.997417,2473,0.491357,2618,0.520167
scin,taxonomy_contributor,benchmark_mapped_rows,3396,1579,0,730,0.462318,1578,0.999367,833,0.527549,895,0.566814
ddi,external_evaluation_only,all_source_rows,656,656,0,0,0.0,656,1.0,0,0.0,0,0.0
ddi,external_evaluation_only,benchmark_mapped_rows,300,300,0,0,0.0,300,1.0,0,0.0,0,0.0
dermnet_kaggle,excluded_from_coverage,all_source_rows,19559,19559,0,0,0.0,0,0.0,0,0.0,0,0.0
dermnet_kaggle,excluded_from_coverage,benchmark_mapped_rows,0,0,0,0,,0,,0,,0,
