duplicate_group_id,duplicate_match_type,sample_count,source_group_count,leakage_group_count,dataset_count,dataset_ids,disease_ids,included_before_count,included_after_count,cross_dataset,label_conflict,requires_review
DUPLICATE_edbe590e086d8a456929,mixed,5,5,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_7d6770b601bd491ad4b7,mixed,5,5,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_bda06f3aa4478fb69879,perceptual,5,5,1,2,dermnet_kaggle|pad_ufes_20,D002,3,3,True,False,True
DUPLICATE_4282a8a8bc2574ec9358,mixed,4,4,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_3b6ea9499218f6335632,mixed,4,4,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_025d6753317e25f8148e,mixed,4,4,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_3d5b2704fb9695e9ab91,mixed,4,4,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_9807bed9980f648847f1,mixed,4,4,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_f298c3a4e23227da8a35,perceptual,4,4,1,2,dermnet_kaggle|fitzpatrick17k_c,D016,2,2,True,False,True
DUPLICATE_18172772406d58530d29,perceptual,4,4,1,2,dermnet_kaggle|fitzpatrick17k_c,D016,2,2,True,False,True
DUPLICATE_88de901f4b32d7ae92c4,mixed,4,4,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_974b78d364d936aea364,mixed,4,4,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_d1763b2a4c3671d68449,mixed,4,4,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_b7b7d77de64fdc9d5ee7,perceptual,4,4,1,2,dermnet_kaggle|fitzpatrick17k_c,D003|D014,2,2,True,True,True
DUPLICATE_9b516cf3ab3295f92531,mixed,4,4,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_38870576b7c59ef6545e,mixed,4,4,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_9cf6b887dd13d24ce7f0,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D011,1,1,True,False,True
DUPLICATE_1eb610ca95e1bc2f9100,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_409373b99c714f68d6c5,perceptual,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_7d9307e1c230c03b92a2,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_20d30cadd4cbe08a389f,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_c21a2f98b395ee8d3d5e,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_3755778c4964be288461,perceptual,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_4b2a947711b41e7ab118,perceptual,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_e9a8d86efa226403b205,perceptual,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_2126a3822b1349cc5103,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_3a75b78d68d2b4a76d59,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_7a62506348b5c890c17e,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_e467b421d96feaf1332d,perceptual,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_12a8527ead05d23e62d1,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_554574eb6f3ba5c2f18f,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_da417fd2cef2e95f26d6,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_bf57bd213de2e53bc20e,perceptual,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_9f158d9c64066d5423f0,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_97d7a4836e428207fd6b,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D011,1,1,True,False,True
DUPLICATE_85fdad0739cca6a22720,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_8e01d646e72033000cf6,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_a78904d50d330422fe78,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_b24e37e71260c7e13c24,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D016,1,1,True,False,True
DUPLICATE_330580d055402024c393,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_15c13da992e7f6eb4ccf,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D025,1,1,True,False,True
DUPLICATE_8ed96b0f4eb9ddf95aed,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_cc82f60495525b64e118,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_df6cee9dfd276a5288ab,perceptual,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D016,2,2,True,False,True
DUPLICATE_8bb33c4a8e34dbba43c1,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_e87d989d169c202919f1,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_869f137e5abfbeac089f,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_6955b0e42c18cde2a615,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_75fa71bfbabc13189610,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_a01b6c6a9b700aa184cb,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D011,1,1,True,False,True
DUPLICATE_e843f5cdc59a5ac05779,perceptual,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
