duplicate_group_id,match_evidence,sample_id_a,dataset_id_a,group_id_a,disease_id_a,include_after_a,sample_id_b,dataset_id_b,group_id_b,disease_id_b,include_after_b,image_sha256_equal,perceptual_hamming_distance,cross_dataset,cross_source_group,label_agreement,requires_review
DUPLICATE_d15666878415fb96bb0d,perceptual,FITZPATRICK17K_C_f7bd77631506ba1a61b50482d7cbaac1,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_f7bd77631506ba1a61b50482d7cbaac1,D016,True,FITZPATRICK17K_C_d82402e38ff9ae1ba49111a4e257a0c7,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_d82402e38ff9ae1ba49111a4e257a0c7,D016,True,False,2,False,True,True,True
DUPLICATE_ee064502b6bfd1551e58,perceptual,FITZPATRICK17K_C_1aee543ff2e0be4023fe2b7dac63f8a9,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_1aee543ff2e0be4023fe2b7dac63f8a9,,False,DERMNET_KAGGLE_d48731149b548f249163,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_d48731149b548f249163,,False,False,2,True,True,False,True
DUPLICATE_443527a1215fab0b9e42,perceptual,FITZPATRICK17K_C_c44e25fd99c63aff7bf21ccb01e9330a,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_c44e25fd99c63aff7bf21ccb01e9330a,D016,True,DERMNET_KAGGLE_64874dd5c78c4bfa4ff3,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_64874dd5c78c4bfa4ff3,,False,False,2,True,True,False,True
DUPLICATE_94dcce66207c6a704ec2,perceptual,FITZPATRICK17K_C_f2fc1714d53f806603228724a49fd1e7,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_f2fc1714d53f806603228724a49fd1e7,D003,True,DERMNET_KAGGLE_96bf114cdfdb8c5dfb35,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_96bf114cdfdb8c5dfb35,,False,False,0,True,True,False,True
DUPLICATE_a5025cc69c664c2cd1fc,perceptual,FITZPATRICK17K_C_64ac709a505775c19e96b55f0278aa61,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_64ac709a505775c19e96b55f0278aa61,D001,True,DERMNET_KAGGLE_a83199a90c18155c9a86,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_a83199a90c18155c9a86,,False,False,0,True,True,False,True
DUPLICATE_bd52cd7c29d895498a89,perceptual,FITZPATRICK17K_C_8d90c2944cdf23c18f305093c7a7fa32,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_8d90c2944cdf23c18f305093c7a7fa32,,False,DERMNET_KAGGLE_b691a441277a787d1e0d,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_b691a441277a787d1e0d,,False,False,0,True,True,False,True
DUPLICATE_a6e6197b68e632356c55,perceptual,FITZPATRICK17K_C_65c28e2286d997bf54ae87d367e6e70c,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_65c28e2286d997bf54ae87d367e6e70c,D003,True,DERMNET_KAGGLE_c80a1e42c12d51253546,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_c80a1e42c12d51253546,,False,False,0,True,True,False,True
DUPLICATE_4879469f50ba60bf747c,perceptual,FITZPATRICK17K_C_45ac75a23af3859cbffa500b64e97631,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_45ac75a23af3859cbffa500b64e97631,,False,DERMNET_KAGGLE_0c4fd44bd9c01b6a3e4f,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_0c4fd44bd9c01b6a3e4f,,False,False,0,True,True,False,True
DUPLICATE_bf3e6c3d45b91c4ecc51,perceptual,FITZPATRICK17K_C_acb264b31d70f98301b812a134879bbf,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_acb264b31d70f98301b812a134879bbf,D004,True,DERMNET_KAGGLE_b1262f868f18fbceec1f,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_b1262f868f18fbceec1f,,False,False,0,True,True,False,True
DUPLICATE_34457bf79b10554b974e,perceptual,FITZPATRICK17K_C_b529b4dcd345f5499dc5c9a48bf1a244,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_b529b4dcd345f5499dc5c9a48bf1a244,D009,True,DERMNET_KAGGLE_df3e74d89dd3dd65d172,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_df3e74d89dd3dd65d172,,False,False,0,True,True,False,True
DUPLICATE_1a117241760799e2a79f,perceptual,FITZPATRICK17K_C_f6d6a19299f3b429df07c24c72c2d9fc,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_f6d6a19299f3b429df07c24c72c2d9fc,D016,True,FITZPATRICK17K_C_3ac3d3c0d8f47f96cdb81e6182d41857,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_3ac3d3c0d8f47f96cdb81e6182d41857,D016,True,False,2,False,True,True,True
DUPLICATE_b3cf4576362ccef31f10,perceptual,FITZPATRICK17K_C_08df04c5cea40bb194f1d303f97c301f,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_08df04c5cea40bb194f1d303f97c301f,D014,True,DERMNET_KAGGLE_f58ce87399dd88cab295,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_f58ce87399dd88cab295,,False,False,2,True,True,False,True
DUPLICATE_9cf6b887dd13d24ce7f0,perceptual,FITZPATRICK17K_C_0f366811cb4f2ed3630448c26d6d4fe5,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_0f366811cb4f2ed3630448c26d6d4fe5,D011,True,DERMNET_KAGGLE_6ca224fd1b4757996670,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_6ca224fd1b4757996670,,False,False,0,True,True,False,True
DUPLICATE_9cf6b887dd13d24ce7f0,perceptual,FITZPATRICK17K_C_0f366811cb4f2ed3630448c26d6d4fe5,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_0f366811cb4f2ed3630448c26d6d4fe5,D011,True,DERMNET_KAGGLE_01953f36edee58065b83,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_01953f36edee58065b83,,False,False,0,True,True,False,True
DUPLICATE_4282a8a8bc2574ec9358,perceptual,FITZPATRICK17K_C_bdadd375f1f3a24a76548ec8aad728a1,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_bdadd375f1f3a24a76548ec8aad728a1,,False,DERMNET_KAGGLE_3d20923d2bc1c0d0978d,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_3d20923d2bc1c0d0978d,,False,False,2,True,True,False,True
DUPLICATE_4282a8a8bc2574ec9358,perceptual,FITZPATRICK17K_C_bdadd375f1f3a24a76548ec8aad728a1,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_bdadd375f1f3a24a76548ec8aad728a1,,False,DERMNET_KAGGLE_275244dd51f8a5a65946,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_275244dd51f8a5a65946,,False,False,2,True,True,False,True
DUPLICATE_4282a8a8bc2574ec9358,perceptual,FITZPATRICK17K_C_bdadd375f1f3a24a76548ec8aad728a1,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_bdadd375f1f3a24a76548ec8aad728a1,,False,DERMNET_KAGGLE_96f23f71501ef764db08,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_96f23f71501ef764db08,,False,False,2,True,True,False,True
