review_priority,priority_reason,review_status,duplicate_group_id,match_evidence,sample_id_a,dataset_id_a,disease_id_a,sample_id_b,dataset_id_b,disease_id_b,perceptual_hamming_distance,cross_dataset,cross_source_group,label_agreement
3,cross_dataset_overlap,pending,DUPLICATE_0114bb55a2d8884001df,perceptual,FITZPATRICK17K_C_9a6945188c02dd2141c1c4660501f74d,fitzpatrick17k_c,D007,DERMNET_KAGGLE_51bf60968094e32abc35,dermnet_kaggle,,0,True,True,False
3,cross_dataset_overlap,pending,DUPLICATE_01fb46957feddcad5100,perceptual,FITZPATRICK17K_C_0bb99b2f270898d179c9fba809e15b41,fitzpatrick17k_c,D007,DERMNET_KAGGLE_f3bda5d0d104dbd09e1b,dermnet_kaggle,,0,True,True,False
3,cross_dataset_overlap,pending,DUPLICATE_02dc1e9dfd67d51cd04c,perceptual,FITZPATRICK17K_C_7988e68f832bb19897674c9f9cde54fa,fitzpatrick17k_c,,DERMNET_KAGGLE_a94c50d1721d32a29e9d,dermnet_kaggle,,0,True,True,False
3,cross_dataset_overlap,pending,DUPLICATE_04ff64cbebb5b1e33aba,perceptual,FITZPATRICK17K_C_7dabc981c070ef3b157483cc74c78d1a,fitzpatrick17k_c,D007,DERMNET_KAGGLE_49123597a21124886678,dermnet_kaggle,,0,True,True,False
3,cross_dataset_overlap,pending,DUPLICATE_060405e3307735fb2ace,perceptual,FITZPATRICK17K_C_7e8094956b0158ba5f69b8a3c7612640,fitzpatrick17k_c,,DERMNET_KAGGLE_770d1523ff828d44d55c,dermnet_kaggle,,0,True,True,False
3,cross_dataset_overlap,pending,DUPLICATE_06724296e04482eeee75,perceptual,FITZPATRICK17K_C_1b1a8cfbe054b2fa9895a08644a10e28,fitzpatrick17k_c,D004,DERMNET_KAGGLE_cced7c9c2bc7b663c849,dermnet_kaggle,,0,True,True,False
3,cross_dataset_overlap,pending,DUPLICATE_075fb03073b3dee8d202,perceptual,FITZPATRICK17K_C_895793f5eb264b8b476fde68a01c6fc9,fitzpatrick17k_c,,DERMNET_KAGGLE_348cbd5da1eb16fe65dc,dermnet_kaggle,,0,True,True,False
3,cross_dataset_overlap,pending,DUPLICATE_08c40835775b8f6ccb6d,perceptual,FITZPATRICK17K_C_9825636bbcd1662b43fda915077b2db0,fitzpatrick17k_c,,DERMNET_KAGGLE_bd5a33c6db73c63ce372,dermnet_kaggle,,0,True,True,False
3,cross_dataset_overlap,pending,DUPLICATE_0b4f545e39084b72eb0e,perceptual,FITZPATRICK17K_C_e1d30846f71f8cb70d493ef44c9ed9c3,fitzpatrick17k_c,,DERMNET_KAGGLE_fc6ddd59f31a01e0b238,dermnet_kaggle,,0,True,True,False
3,cross_dataset_overlap,pending,DUPLICATE_0c72e1ec2f6cf246cd0e,perceptual,FITZPATRICK17K_C_9a5e60563e3d9b3e82e2d1adae72c5b8,fitzpatrick17k_c,D011,DERMNET_KAGGLE_0b1a35694b8384c817f8,dermnet_kaggle,,0,True,True,False
3,cross_dataset_overlap,pending,DUPLICATE_0ca31bf1583c52b891e0,perceptual,FITZPATRICK17K_C_74409e0c35949a3d404311c3b96ecb32,fitzpatrick17k_c,D009,DERMNET_KAGGLE_b4d3dad144b6e0cc40f5,dermnet_kaggle,,0,True,True,False
3,cross_dataset_overlap,pending,DUPLICATE_0daa18f6e06a77f90d1e,perceptual,FITZPATRICK17K_C_d241595ed6169f3a4a74d7c634702a91,fitzpatrick17k_c,D003,DERMNET_KAGGLE_e9a35b4a9c2c1f032e35,dermnet_kaggle,,0,True,True,False
3,cross_dataset_overlap,pending,DUPLICATE_0df05415208001fb19b7,perceptual,FITZPATRICK17K_C_087e8f652c5281cde215a44f1d1df95d,fitzpatrick17k_c,D016,DERMNET_KAGGLE_d153e514dd5a6751b548,dermnet_kaggle,,0,True,True,False
