dataset_id,disease_original,normalized_source_label,disease_id,any_reference_image_count,any_reference_group_count,primary_image_count,primary_group_count
ddi,melanocytic-nevi,melanocytic nevi,D002,119,119,119,119
ddi,seborrheic-keratosis,seborrheic keratosis,D006,58,58,58,58
ddi,verruca-vulgaris,verruca vulgaris,,50,50,50,50
ddi,basal-cell-carcinoma,basal cell carcinoma,D004,41,41,41,41
ddi,epidermal-cyst,epidermal cyst,,35,35,35,35
ddi,mycosis-fungoides,mycosis fungoides,,32,32,32,32
ddi,squamous-cell-carcinoma-in-situ,squamous cell carcinoma in situ,D005,28,28,28,28
ddi,dermatofibroma,dermatofibroma,,22,22,22,22
ddi,acrochordon,acrochordon,,19,19,19,19
ddi,squamous-cell-carcinoma,squamous cell carcinoma,D005,17,17,17,17
ddi,dysplastic-nevus,dysplastic nevus,,16,16,16,16
ddi,pyogenic-granuloma,pyogenic granuloma,,14,14,14,14
ddi,seborrheic-keratosis-irritated,seborrheic keratosis irritated,D006,14,14,14,14
ddi,neurofibroma,neurofibroma,,12,12,12,12
ddi,angioma,angioma,,11,11,11,11
ddi,eccrine-poroma,eccrine poroma,,10,10,10,10
ddi,squamous-cell-carcinoma-keratoacanthoma,squamous cell carcinoma keratoacanthoma,,8,8,8,8
ddi,melanoma,melanoma,D001,7,7,7,7
ddi,melanoma-acral-lentiginous,melanoma acral lentiginous,,7,7,7,7
ddi,basal-cell-carcinoma-nodular,basal cell carcinoma nodular,,6,6,6,6
ddi,blue-nevus,blue nevus,,6,6,6,6
ddi,kaposi-sarcoma,kaposi sarcoma,,6,6,6,6
ddi,lipoma,lipoma,,6,6,6,6
ddi,melanoma-in-situ,melanoma in situ,D001,6,6,6,6
ddi,molluscum-contagiosum,molluscum contagiosum,,6,6,6,6
ddi,nevus-lipomatosus-superficialis,nevus lipomatosus superficialis,,6,6,6,6
ddi,inverted-follicular-keratosis,inverted follicular keratosis,,5,5,5,5
ddi,metastatic-carcinoma,metastatic carcinoma,,5,5,5,5
ddi,prurigo-nodularis,prurigo nodularis,,5,5,5,5
ddi,actinic-keratosis,actinic keratosis,D007,4,4,4,4
ddi,eczema-spongiotic-dermatitis,eczema spongiotic dermatitis,,4,4,4,4
ddi,solar-lentigo,solar lentigo,,4,4,4,4
ddi,abrasions-ulcerations-and-physical-injuries,abrasions ulcerations and physical injuries,,3,3,3,3
ddi,arteriovenous-hemangioma,arteriovenous hemangioma,,3,3,3,3
ddi,benign-keratosis,benign keratosis,,3,3,3,3
ddi,hyperpigmentation,hyperpigmentation,,3,3,3,3
ddi,trichilemmoma,trichilemmoma,,3,3,3,3
ddi,acquired-digital-fibrokeratoma,acquired digital fibrokeratoma,,2,2,2,2
ddi,basal-cell-carcinoma-superficial,basal cell carcinoma superficial,,2,2,2,2
ddi,condyloma-accuminatum,condyloma accuminatum,,2,2,2,2
ddi,fibrous-papule,fibrous papule,,2,2,2,2
ddi,foreign-body-granuloma,foreign body granuloma,,2,2,2,2
ddi,graft-vs-host-disease,graft vs host disease,,2,2,2,2
ddi,onychomycosis,onychomycosis,,2,2,2,2
ddi,scar,scar,,2,2,2,2
ddi,syringocystadenoma-papilliferum,syringocystadenoma papilliferum,,2,2,2,2
ddi,trichofolliculoma,trichofolliculoma,,2,2,2,2
ddi,xanthogranuloma,xanthogranuloma,,2,2,2,2
ddi,abscess,abscess,,1,1,1,1
ddi,acne-cystic,acne cystic,,1,1,1,1
ddi,acral-melanotic-macule,acral melanotic macule,,1,1,1,1
ddi,angioleiomyoma,angioleiomyoma,,1,1,1,1
ddi,atypical-spindle-cell-nevus-of-reed,atypical spindle cell nevus of reed,,1,1,1,1
ddi,blastic-plasmacytoid-dendritic-cell-neoplasm,blastic plasmacytoid dendritic cell neoplasm,,1,1,1,1
ddi,cellular-neurothekeoma,cellular neurothekeoma,,1,1,1,1
ddi,chondroid-syringoma,chondroid syringoma,,1,1,1,1
ddi,clear-cell-acanthoma,clear cell acanthoma,,1,1,1,1
ddi,coccidioidomycosis,coccidioidomycosis,,1,1,1,1
ddi,dermatomyositis,dermatomyositis,,1,1,1,1
ddi,epidermal-nevus,epidermal nevus,,1,1,1,1
ddi,focal-acral-hyperkeratosis,focal acral hyperkeratosis,,1,1,1,1
ddi,folliculitis,folliculitis,,1,1,1,1
ddi,glomangioma,glomangioma,,1,1,1,1
ddi,hematoma,hematoma,,1,1,1,1
ddi,keloid,keloid,,1,1,1,1
ddi,leukemia-cutis,leukemia cutis,,1,1,1,1
ddi,lichenoid-keratosis,lichenoid keratosis,,1,1,1,1
ddi,lymphocytic-infiltrations,lymphocytic infiltrations,,1,1,1,1
ddi,morphea,morphea,,1,1,1,1
ddi,neuroma,neuroma,,1,1,1,1
ddi,nodular-melanoma-(nm),nodular melanoma nm,,1,1,1,1
ddi,pigmented-spindle-cell-nevus-of-reed,pigmented spindle cell nevus of reed,,1,1,1,1
ddi,reactive-lymphoid-hyperplasia,reactive lymphoid hyperplasia,,1,1,1,1
ddi,sebaceous-carcinoma,sebaceous carcinoma,,1,1,1,1
ddi,subcutaneous-t-cell-lymphoma,subcutaneous t cell lymphoma,,1,1,1,1
ddi,tinea-pedis,tinea pedis,,1,1,1,1
ddi,verruciform-xanthoma,verruciform xanthoma,,1,1,1,1
ddi,wart,wart,,1,1,1,1
fitzpatrick17k_c,psoriasis,psoriasis,D003,534,534,534,534
fitzpatrick17k_c,basal cell carcinoma,basal cell carcinoma,D004,412,412,412,412
fitzpatrick17k_c,lichen planus,lichen planus,,377,377,377,377
fitzpatrick17k_c,squamous cell carcinoma,squamous cell carcinoma,D005,372,372,372,372
fitzpatrick17k_c,allergic contact dermatitis,allergic contact dermatitis,D009,314,314,314,314
fitzpatrick17k_c,acne vulgaris,acne vulgaris,D011,299,299,299,299
fitzpatrick17k_c,lupus erythematosus,lupus erythematosus,,257,257,257,257
fitzpatrick17k_c,sarcoidosis,sarcoidosis,,257,257,257,257
fitzpatrick17k_c,scleroderma,scleroderma,,246,246,246,246
fitzpatrick17k_c,neutrophilic dermatoses,neutrophilic dermatoses,,244,244,244,244
fitzpatrick17k_c,photodermatoses,photodermatoses,,242,242,242,242
fitzpatrick17k_c,scabies,scabies,,203,203,203,203
fitzpatrick17k_c,folliculitis,folliculitis,,182,182,182,182
fitzpatrick17k_c,eczema,eczema,,176,176,176,176
fitzpatrick17k_c,melanoma,melanoma,D001,176,176,176,176
fitzpatrick17k_c,pityriasis rubra pilaris,pityriasis rubra pilaris,,176,176,176,176
fitzpatrick17k_c,drug eruption,drug eruption,,157,157,157,157
fitzpatrick17k_c,erythema multiforme,erythema multiforme,,154,154,154,154
fitzpatrick17k_c,mycosis fungoides,mycosis fungoides,,143,143,143,143
fitzpatrick17k_c,actinic keratosis,actinic keratosis,D007,142,142,142,142
fitzpatrick17k_c,dermatomyositis,dermatomyositis,,135,135,135,135
