dataset_id,disease_original,normalized_source_label,canonical_source_label,disease_id,mapping_status,any_reference_image_count,any_reference_group_count,primary_image_count,primary_group_count
ddi,melanocytic-nevi,melanocytic nevi,melanocytic_nevus,D002,benchmark_mapped,119,119,119,119
ddi,seborrheic-keratosis,seborrheic keratosis,seborrheic_keratosis,D006,benchmark_mapped,58,58,58,58
ddi,verruca-vulgaris,verruca vulgaris,verruca_vulgaris,,out_of_benchmark_scope,50,50,50,50
ddi,basal-cell-carcinoma,basal cell carcinoma,basal_cell_carcinoma,D004,benchmark_mapped,41,41,41,41
ddi,epidermal-cyst,epidermal cyst,epidermal_cyst,,out_of_benchmark_scope,35,35,35,35
ddi,mycosis-fungoides,mycosis fungoides,mycosis_fungoides,,out_of_benchmark_scope,32,32,32,32
ddi,squamous-cell-carcinoma-in-situ,squamous cell carcinoma in situ,squamous_cell_carcinoma,D005,benchmark_mapped,28,27,28,27
ddi,dermatofibroma,dermatofibroma,dermatofibroma,,out_of_benchmark_scope,22,22,22,22
ddi,acrochordon,acrochordon,acrochordon,,out_of_benchmark_scope,19,19,19,19
ddi,squamous-cell-carcinoma,squamous cell carcinoma,squamous_cell_carcinoma,D005,benchmark_mapped,17,17,17,17
ddi,dysplastic-nevus,dysplastic nevus,dysplastic_nevus,,out_of_benchmark_scope,16,16,16,16
ddi,pyogenic-granuloma,pyogenic granuloma,pyogenic_granuloma,,out_of_benchmark_scope,14,14,14,14
ddi,seborrheic-keratosis-irritated,seborrheic keratosis irritated,seborrheic_keratosis,D006,benchmark_mapped,14,14,14,14
ddi,neurofibroma,neurofibroma,neurofibroma,,out_of_benchmark_scope,12,12,12,12
ddi,angioma,angioma,angioma,,out_of_benchmark_scope,11,11,11,11
ddi,eccrine-poroma,eccrine poroma,eccrine_poroma,,out_of_benchmark_scope,10,10,10,10
ddi,squamous-cell-carcinoma-keratoacanthoma,squamous cell carcinoma keratoacanthoma,squamous_cell_carcinoma_keratoacanthoma,,out_of_benchmark_scope,8,8,8,8
ddi,melanoma,melanoma,melanoma,D001,benchmark_mapped,7,7,7,7
ddi,melanoma-acral-lentiginous,melanoma acral lentiginous,melanoma_acral_lentiginous,,out_of_benchmark_scope,7,7,7,7
ddi,basal-cell-carcinoma-nodular,basal cell carcinoma nodular,basal_cell_carcinoma_nodular,,out_of_benchmark_scope,6,6,6,6
ddi,blue-nevus,blue nevus,blue_nevus,,out_of_benchmark_scope,6,6,6,6
ddi,kaposi-sarcoma,kaposi sarcoma,kaposi_sarcoma,,out_of_benchmark_scope,6,6,6,6
ddi,lipoma,lipoma,lipoma,,out_of_benchmark_scope,6,6,6,6
ddi,melanoma-in-situ,melanoma in situ,melanoma,D001,benchmark_mapped,6,6,6,6
ddi,molluscum-contagiosum,molluscum contagiosum,molluscum_contagiosum,,out_of_benchmark_scope,6,6,6,6
ddi,nevus-lipomatosus-superficialis,nevus lipomatosus superficialis,nevus_lipomatosus_superficialis,,out_of_benchmark_scope,6,6,6,6
ddi,inverted-follicular-keratosis,inverted follicular keratosis,inverted_follicular_keratosis,,out_of_benchmark_scope,5,5,5,5
ddi,metastatic-carcinoma,metastatic carcinoma,metastatic_carcinoma,,out_of_benchmark_scope,5,5,5,5
ddi,prurigo-nodularis,prurigo nodularis,prurigo_nodularis,D022,benchmark_mapped,5,5,5,5
ddi,actinic-keratosis,actinic keratosis,actinic_keratosis,D007,benchmark_mapped,4,4,4,4
ddi,eczema-spongiotic-dermatitis,eczema spongiotic dermatitis,eczema_spongiotic_dermatitis,,out_of_benchmark_scope,4,4,4,4
ddi,solar-lentigo,solar lentigo,solar_lentigo,,out_of_benchmark_scope,4,4,4,4
ddi,abrasions-ulcerations-and-physical-injuries,abrasions ulcerations and physical injuries,abrasions_ulcerations_and_physical_injuries,,out_of_benchmark_scope,3,3,3,3
ddi,arteriovenous-hemangioma,arteriovenous hemangioma,arteriovenous_hemangioma,,out_of_benchmark_scope,3,3,3,3
ddi,benign-keratosis,benign keratosis,benign_keratosis,,out_of_benchmark_scope,3,3,3,3
ddi,hyperpigmentation,hyperpigmentation,hyperpigmentation,,out_of_benchmark_scope,3,3,3,3
ddi,trichilemmoma,trichilemmoma,trichilemmoma,,out_of_benchmark_scope,3,3,3,3
ddi,acquired-digital-fibrokeratoma,acquired digital fibrokeratoma,acquired_digital_fibrokeratoma,,out_of_benchmark_scope,2,2,2,2
ddi,basal-cell-carcinoma-superficial,basal cell carcinoma superficial,basal_cell_carcinoma_superficial,,out_of_benchmark_scope,2,2,2,2
ddi,condyloma-accuminatum,condyloma accuminatum,condyloma_accuminatum,,out_of_benchmark_scope,2,2,2,2
ddi,fibrous-papule,fibrous papule,fibrous_papule,,out_of_benchmark_scope,2,2,2,2
ddi,foreign-body-granuloma,foreign body granuloma,foreign_body_granuloma,,out_of_benchmark_scope,2,2,2,2
ddi,graft-vs-host-disease,graft vs host disease,graft_vs_host_disease,,out_of_benchmark_scope,2,2,2,2
ddi,onychomycosis,onychomycosis,onychomycosis,,out_of_benchmark_scope,2,2,2,2
ddi,scar,scar,scar,,out_of_benchmark_scope,2,2,2,2
ddi,syringocystadenoma-papilliferum,syringocystadenoma papilliferum,syringocystadenoma_papilliferum,,out_of_benchmark_scope,2,2,2,2
ddi,trichofolliculoma,trichofolliculoma,trichofolliculoma,,out_of_benchmark_scope,2,2,2,2
ddi,xanthogranuloma,xanthogranuloma,xanthogranuloma,,out_of_benchmark_scope,2,2,2,2
ddi,abscess,abscess,abscess,,out_of_benchmark_scope,1,1,1,1
ddi,acne-cystic,acne cystic,acne_cystic,,out_of_benchmark_scope,1,1,1,1
ddi,acral-melanotic-macule,acral melanotic macule,acral_melanotic_macule,,out_of_benchmark_scope,1,1,1,1
ddi,angioleiomyoma,angioleiomyoma,angioleiomyoma,,out_of_benchmark_scope,1,1,1,1
ddi,atypical-spindle-cell-nevus-of-reed,atypical spindle cell nevus of reed,atypical_spindle_cell_nevus_of_reed,,out_of_benchmark_scope,1,1,1,1
ddi,blastic-plasmacytoid-dendritic-cell-neoplasm,blastic plasmacytoid dendritic cell neoplasm,blastic_plasmacytoid_dendritic_cell_neoplasm,,out_of_benchmark_scope,1,1,1,1
ddi,cellular-neurothekeoma,cellular neurothekeoma,cellular_neurothekeoma,,out_of_benchmark_scope,1,1,1,1
ddi,chondroid-syringoma,chondroid syringoma,chondroid_syringoma,,out_of_benchmark_scope,1,1,1,1
ddi,clear-cell-acanthoma,clear cell acanthoma,clear_cell_acanthoma,,out_of_benchmark_scope,1,1,1,1
ddi,coccidioidomycosis,coccidioidomycosis,coccidioidomycosis,,out_of_benchmark_scope,1,1,1,1
ddi,dermatomyositis,dermatomyositis,dermatomyositis,,out_of_benchmark_scope,1,1,1,1
ddi,epidermal-nevus,epidermal nevus,epidermal_nevus,,out_of_benchmark_scope,1,1,1,1
ddi,focal-acral-hyperkeratosis,focal acral hyperkeratosis,focal_acral_hyperkeratosis,,out_of_benchmark_scope,1,1,1,1
ddi,folliculitis,folliculitis,folliculitis,D016,benchmark_mapped,1,1,1,1
ddi,glomangioma,glomangioma,glomangioma,,out_of_benchmark_scope,1,1,1,1
ddi,hematoma,hematoma,hematoma,,out_of_benchmark_scope,1,1,1,1
ddi,keloid,keloid,keloid,,out_of_benchmark_scope,1,1,1,1
ddi,leukemia-cutis,leukemia cutis,leukemia_cutis,,out_of_benchmark_scope,1,1,1,1
ddi,lichenoid-keratosis,lichenoid keratosis,lichenoid_keratosis,,out_of_benchmark_scope,1,1,1,1
ddi,lymphocytic-infiltrations,lymphocytic infiltrations,lymphocytic_infiltrations,,out_of_benchmark_scope,1,1,1,1
ddi,morphea,morphea,morphea,,out_of_benchmark_scope,1,1,1,1
ddi,neuroma,neuroma,neuroma,,out_of_benchmark_scope,1,1,1,1
ddi,nodular-melanoma-(nm),nodular melanoma nm,nodular_melanoma_nm,,out_of_benchmark_scope,1,1,1,1
ddi,pigmented-spindle-cell-nevus-of-reed,pigmented spindle cell nevus of reed,pigmented_spindle_cell_nevus_of_reed,,out_of_benchmark_scope,1,1,1,1
ddi,reactive-lymphoid-hyperplasia,reactive lymphoid hyperplasia,reactive_lymphoid_hyperplasia,,out_of_benchmark_scope,1,1,1,1
ddi,sebaceous-carcinoma,sebaceous carcinoma,sebaceous_carcinoma,,out_of_benchmark_scope,1,1,1,1
