disease_id,label,image_count,group_count
D001,melanoma,283,268
D002,melanocytic_nevus,215,169
D003,psoriasis,660,595
D004,basal_cell_carcinoma,929,699
D005,squamous_cell_carcinoma,434,390
D006,seborrheic_keratosis,217,174
D007,actinic_keratosis,682,531
D009,contact_dermatitis,564,389
D011,acne_vulgaris,367,328
D012,rosacea,95,75
D013,vitiligo,81,79
D014,eczema,736,406
D015,seborrheic_dermatitis,105,90
D016,folliculitis,303,201
D017,urticaria,340,213
D018,scabies,170,154
D019,pityriasis_rosea,146,114
D022,prurigo_nodularis,92,73
D023,granuloma_annulare,131,109
D024,erythema_multiforme,120,113
D025,drug_eruption,188,145
