dataset_id,leakage_group_id,image_count,class_count
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_095557969a0b98ecb06ab0051eadabcf,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_0b53f0be6e1d471687226ed4890a5108,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_0d4f2d1610e4a7ba1c56a832f4ac499c,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_127b524d51567e426459385d43cd9cb9,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_23090f6816110dc218e3e12d8fe5286f,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_23fc2126bc1f8799fccfb195d2af6141,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_273d9cb0af2f544b4968c76ce645e612,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_35229f6bd36e4f069d4fa8b951b06fb8,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_5101d499ba69fdd423c2de3d8a83fcf9,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_51d8cff22dbbfa92991aa008a3ac53d0,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_610238a9511e0242eac20a58568dff9b,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_7bea5460d1e522ef183f4da647da4f8f,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_88981464f1de6c3632f3a469727e0961,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_8c3d26edb18555bbc6146f3581a66d82,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_91f0e31271eb04d1186f3c90e7f42368,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_9642453f29e342b4120b027a21f76bd6,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_9bcff4ba8acb7913082d22a7a9e8d8db,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_9d5253e214fe05cd3e2f958ef98d8eb1,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_a27012d54673fe854519f52780ded002,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_a356d55d5f7bbf7b529af72463b5adf1,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_b4df499e2397da0425aecca6849c55f0,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_b5cbe760bbc7918b04d11823ae2d8f49,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_cbe21d899f4a65ce27c19991565889a1,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_d6bdb8c6d2f2f3eaf0c8fae172146f12,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_dbaaaf438d822950b52e1ccc75435333,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_e859e07157d69cb11d47d45c4380fd04,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_eab91c11e20398a89c454717dc5eaa94,1,1
fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_f17281017f5c590b4cc25c388a8cc979,1,1
fitzpatrick17k_c,LEAKAGE_39bd499a0c9e3f3fec74,2,1
fitzpatrick17k_c,LEAKAGE_999e9e516b1b984930e0,1,1
fitzpatrick17k_c,LEAKAGE_9d485d6c0a195c527ca5,1,1
fitzpatrick17k_c,LEAKAGE_a5678902eba84d305751,1,1
fitzpatrick17k_c,LEAKAGE_f3a63db7be9b7221ad0c,2,1
pad_ufes_20,PAD_UFES_20_PATIENT_PAT_158,2,2
pad_ufes_20,PAD_UFES_20_PATIENT_PAT_198,2,2
pad_ufes_20,PAD_UFES_20_PATIENT_PAT_270,7,4
pad_ufes_20,PAD_UFES_20_PATIENT_PAT_380,6,3
pad_ufes_20,PAD_UFES_20_PATIENT_PAT_386,5,3
pad_ufes_20,PAD_UFES_20_PATIENT_PAT_433,2,2
pad_ufes_20,PAD_UFES_20_PATIENT_PAT_59,4,3
scin,LEAKAGE_584895820becc27374e9,1,1
scin,SCIN_CASE_-1607687872846341789,3,1
scin,SCIN_CASE_-1642854588169009714,1,1
scin,SCIN_CASE_-2972957245978748417,1,1
scin,SCIN_CASE_-6200583977661299719,3,1
scin,SCIN_CASE_-63753751533757188,3,1
scin,SCIN_CASE_-6669602917380288318,3,1
scin,SCIN_CASE_-7290747481289933278,2,1
scin,SCIN_CASE_-8049510855839127388,3,1
scin,SCIN_CASE_-8115629007813437794,2,1
scin,SCIN_CASE_-8368978379079502283,3,1
scin,SCIN_CASE_-8542064986886426986,3,1
scin,SCIN_CASE_1713680792880426853,3,1
scin,SCIN_CASE_1723536832227989598,3,1
scin,SCIN_CASE_3413683968657410865,3,1
scin,SCIN_CASE_3747196333779670104,3,1
scin,SCIN_CASE_4118932128019747471,3,1
scin,SCIN_CASE_4125245881919082551,3,1
scin,SCIN_CASE_4878085917158962448,2,1
scin,SCIN_CASE_6325516616043844557,3,1
scin,SCIN_CASE_6564125194979270985,3,1
scin,SCIN_CASE_798779969514304987,3,1
scin,SCIN_CASE_9056828514990373756,3,1
