split,label,image_count,group_count,dev_panel_count
sft_dev,acne_vulgaris,66,56,10
sft_dev,actinic_keratosis,102,86,10
sft_dev,basal_cell_carcinoma,188,127,10
sft_dev,contact_dermatitis,119,75,10
sft_dev,drug_eruption,31,24,10
sft_dev,eczema,135,76,10
sft_dev,erythema_multiforme,19,17,10
sft_dev,folliculitis,59,37,10
sft_dev,granuloma_annulare,25,19,10
sft_dev,melanocytic_nevus,39,28,10
sft_dev,melanoma,48,45,10
sft_dev,pityriasis_rosea,23,20,10
sft_dev,prurigo_nodularis,19,13,10
sft_dev,psoriasis,102,88,10
sft_dev,rosacea,14,11,10
sft_dev,scabies,30,27,10
sft_dev,seborrheic_dermatitis,16,14,10
sft_dev,seborrheic_keratosis,38,29,10
sft_dev,squamous_cell_carcinoma,73,65,10
sft_dev,urticaria,67,40,10
sft_dev,vitiligo,16,14,10
sft_train,acne_vulgaris,337,305,0
sft_train,actinic_keratosis,591,455,0
sft_train,basal_cell_carcinoma,818,626,0
sft_train,contact_dermatitis,563,383,0
sft_train,drug_eruption,169,130,0
sft_train,eczema,757,411,0
sft_train,erythema_multiforme,101,96,0
sft_train,folliculitis,292,190,0
sft_train,granuloma_annulare,125,106,0
sft_train,melanocytic_nevus,176,141,0
sft_train,melanoma,250,236,0
sft_train,pityriasis_rosea,143,111,0
sft_train,prurigo_nodularis,87,69,0
sft_train,psoriasis,595,523,0
sft_train,rosacea,81,64,0
sft_train,scabies,163,146,0
sft_train,seborrheic_dermatitis,89,76,0
sft_train,seborrheic_keratosis,184,150,0
sft_train,squamous_cell_carcinoma,378,340,0
sft_train,urticaria,336,205,0
sft_train,vitiligo,77,77,0
