disease_id,canonical_source_label,dataset_id,image_count
D001,melanoma,derm1m,642
D001,melanoma,fitzpatrick17k_c,180
D001,melanoma,hiba,65
D001,melanoma,pad_ufes_20,33
D002,melanocytic_nevus,derm1m,1045
D002,melanocytic_nevus,hiba,53
D002,melanocytic_nevus,pad_ufes_20,150
D002,melanocytic_nevus,scin,7
D003,psoriasis,derm1m,2351
D003,psoriasis,fitzpatrick17k_c,533
D003,psoriasis,scin,122
D004,basal_cell_carcinoma,derm1m,326
D004,basal_cell_carcinoma,fitzpatrick17k_c,264
D004,basal_cell_carcinoma,hiba,114
D004,basal_cell_carcinoma,pad_ufes_20,531
D004,basal_cell_carcinoma,scin,8
D005,squamous_cell_carcinoma,derm1m,304
D005,squamous_cell_carcinoma,fitzpatrick17k_c,256
D005,squamous_cell_carcinoma,hiba,48
D005,squamous_cell_carcinoma,pad_ufes_20,109
D005,squamous_cell_carcinoma,scin,10
D006,seborrheic_keratosis,derm1m,9
D006,seborrheic_keratosis,fitzpatrick17k_c,34
D006,seborrheic_keratosis,hiba,21
D006,seborrheic_keratosis,pad_ufes_20,158
D007,actinic_keratosis,derm1m,15
D007,actinic_keratosis,fitzpatrick17k_c,93
D007,actinic_keratosis,hiba,17
D007,actinic_keratosis,pad_ufes_20,547
D007,actinic_keratosis,scin,15
D009,contact_dermatitis,derm1m,362
D009,contact_dermatitis,fitzpatrick17k_c,223
D009,contact_dermatitis,scin,331
D011,acne_vulgaris,derm1m,600
D011,acne_vulgaris,fitzpatrick17k_c,287
D011,acne_vulgaris,scin,73
D012,rosacea,derm1m,151
D012,rosacea,fitzpatrick17k_c,55
D012,rosacea,scin,38
D013,vitiligo,derm1m,440
D013,vitiligo,fitzpatrick17k_c,77
D014,eczema,derm1m,2633
D014,eczema,fitzpatrick17k_c,113
D014,eczema,scin,621
D015,seborrheic_dermatitis,derm1m,9
D015,seborrheic_dermatitis,fitzpatrick17k_c,78
D015,seborrheic_dermatitis,scin,23
D016,folliculitis,derm1m,409
D016,folliculitis,fitzpatrick17k_c,126
D016,folliculitis,scin,167
D017,urticaria,derm1m,1419
D017,urticaria,fitzpatrick17k_c,86
D017,urticaria,scin,243
D018,scabies,derm1m,372
D018,scabies,fitzpatrick17k_c,138
D018,scabies,scin,29
D019,pityriasis_rosea,derm1m,278
D019,pityriasis_rosea,fitzpatrick17k_c,86
D019,pityriasis_rosea,scin,56
D022,prurigo_nodularis,derm1m,3
D022,prurigo_nodularis,fitzpatrick17k_c,57
D022,prurigo_nodularis,scin,31
D023,granuloma_annulare,derm1m,173
D023,granuloma_annulare,fitzpatrick17k_c,90
D023,granuloma_annulare,scin,37
D024,erythema_multiforme,derm1m,297
D024,erythema_multiforme,fitzpatrick17k_c,106
D024,erythema_multiforme,scin,10
D025,drug_eruption,derm1m,341
D025,drug_eruption,fitzpatrick17k_c,109
D025,drug_eruption,scin,77
